ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400
65226,CIS,Male,2014,3.94,4.47,2.90,4.10,4.23
46500,CIS,Male,2014,3.25,3.47,2.64,3.61,3.33
23868,CIS,Female,2014,3.13,3.02,2.94,3.41,3.26
94115,CIS,Female,2014,3.58,3.02,3.64,3.79,3.95
81433,CIS,Male,2014,3.91,3.22,4.00,4.38,4.21
25503,CIS,Female,2014,3.33,3.42,3.40,3.52,3.02
48069,CIS,Male,2014,3.08,2.82,2.98,3.69,3.06
37749,CIS,Male,2014,4.32,4.02,4.40,4.59,4.36
63547,CIS,Female,2014,3.39,2.89,3.31,3.69,3.80
76656,CIS,Female,2014,3.99,3.78,4.24,4.07,3.90
76535,CIS,Male,2014,3.91,3.98,3.64,4.31,3.80
37492,CIS,Female,2014,4.99,4.96,5.00,5.00,5.00
74856,CIS,Male,2014,3.66,3.51,3.62,4.28,3.43
